index_rc,col,row,col_row,x_cent_geo,y_cent_geo,x1_nw_geo,y1_nw_geo,x2_sw_geo,y2_sw_geo,x3_se_geo,y3_se_geo,x4_ne_geo,y4_ne_geo,sh,hh,ni,hb,nw,he,rp,bw,by,sl,be,bb,mv,sn,st,th
1010,10,1,10 - 001,6.7037047586,55.0890652362,6.6348503663,55.1253545515,6.6408820539,55.0493686806,6.7724412790,55.0527371752,6.7666452062,55.1287287001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,11,1,11 - 001,6.8353920561,55.0923692514,6.7666452062,55.1287287001,6.7724412790,55.0527371752,6.9040209816,55.0559711656,6.8984606339,55.1319681193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,12,1,12 - 001,6.9670994703,55.0955386352,6.8984606339,55.1319681193,6.9040209816,55.0559711656,7.0356203318,55.0590706228,7.0302958152,55.1350727801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,13,1,13 - 001,7.0988261687,55.0985733594,7.0302958152,55.1350727801,7.0356203318,55.0590706228,7.1672384991,55.0620355194,7.1621499150,55.1380426549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,14,1,14 - 001,7.2305713181,55.1014733969,7.1621499150,55.1380426549,7.1672384991,55.0620355194,7.2988746522,55.0648658289,7.2940220975,55.1408777170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,15,1,15 - 001,7.3623340846,55.1042387219,7.2940220975,55.1408777170,7.2988746522,55.0648658289,7.4305279590,55.0675615261,7.4259115265,55.1435779413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,16,1,16 - 001,7.4941136338,55.1068693096,7.4259115265,55.1435779413,7.4305279590,55.0675615261,7.5621975871,55.0701225870,7.5578173646,55.1461433034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,17,1,17 - 001,7.6259091305,55.1093651365,7.5578173646,55.1461433034,7.5621975871,55.0701225870,7.6938827030,55.0725489887,7.6897387743,55.1485737806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,18,1,18 - 001,7.7577197388,55.1117261805,7.6897387743,55.1485737806,7.6938827030,55.0725489887,7.8255824731,55.0748407096,7.8216749171,55.1508693511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,19,1,19 - 001,7.8895446225,55.1139524204,7.8216749171,55.1508693511,7.8255824731,55.0748407096,7.9572960629,55.0769977292,7.9536249543,55.1530299943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,20,1,20 - 001,8.0213829447,55.1160438364,7.9536249543,55.1530299943,7.9572960629,55.0769977292,8.0890226375,55.0790200284,8.0855880464,55.1550556910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,21,1,21 - 001,8.1532338678,55.1180004097,8.0855880464,55.1550556910,8.0890226375,55.0790200284,8.2207613615,55.0809075891,8.2175633534,55.1569464230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,22,1,22 - 001,8.2850965541,55.1198221229,8.2175633534,55.1569464230,8.2207613615,55.0809075891,8.3525113990,55.0826603944,8.3495500351,55.1587021734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,23,1,23 - 001,8.4169701651,55.1215089597,8.3495500351,55.1587021734,8.3525113990,55.0826603944,8.4842719137,55.0842784287,8.4815472506,55.1603229266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,24,1,24 - 001,8.5488538622,55.1230609051,8.4815472506,55.1603229266,8.4842719137,55.0842784287,8.6160420690,55.0857616776,8.6135541586,55.1618086679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,25,1,25 - 001,8.6807468061,55.1244779451,8.6135541586,55.1618086679,8.6160420690,55.0857616776,8.7478210276,55.0871101278,8.7455699176,55.1631593842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,26,1,26 - 001,8.8126481574,55.1257600671,8.7455699176,55.1631593842,8.7478210276,55.0871101278,8.8796079523,55.0883237673,8.8775936857,55.1643750633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,27,1,27 - 001,8.9445570763,55.1269072597,8.8775936857,55.1643750633,8.8796079523,55.0883237673,9.0114020053,55.0894025852,9.0096246206,55.1654556944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,28,1,28 - 001,9.0764727226,55.1279195126,9.0096246206,55.1654556944,9.0114020053,55.0894025852,9.1432023486,55.0903465720,9.1416618798,55.1664012677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,29,1,29 - 001,9.2083942560,55.1287968167,9.1416618798,55.1664012677,9.1432023486,55.0903465720,9.2750081440,55.0911557192,9.2737046205,55.1672117748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,30,1,30 - 001,9.3403208359,55.1295391643,9.2737046205,55.1672117748,9.2750081440,55.0911557192,9.4068185531,55.0918300195,9.4057519999,55.1678872085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,31,1,31 - 001,9.4722516214,55.1301465486,9.4057519999,55.1678872085,9.4068185531,55.0918300195,9.5386327373,55.0923694670,9.5378031747,55.1684275628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,32,1,32 - 001,9.6041857717,55.1306189643,9.5378031747,55.1684275628,9.5386327373,55.0923694670,9.6704498577,55.0927740569,9.6698573017,55.1688328327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,33,1,33 - 001,9.7361224457,55.1309564070,9.6698573017,55.1688328327,9.6704498577,55.0927740569,9.8022690756,55.0930437854,9.8019135375,55.1691030146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,34,1,34 - 001,9.8680608022,55.1311588739,9.8019135375,55.1691030146,9.8022690756,55.0930437854,9.9340895520,55.0931786503,9.9339710386,55.1692381062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,35,1,35 - 001,10.0000000000,55.1312263631,9.9339710386,55.1692381062,9.9340895520,55.0931786503,10.0659104480,55.0931786503,10.0660289614,55.1692381062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,36,1,36 - 001,10.1319391978,55.1311588739,10.0660289614,55.1692381062,10.0659104480,55.0931786503,10.1977309244,55.0930437854,10.1980864625,55.1691030146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
